question_id,item,item_id,category,category_id,available_score
21,PURPLE,1,Colours,1,1
21,HOPE,7,Abstract concepts,2,3
21,HISTORY,14,Subjects,3,2
21,CITY,18,Places,4,4
22,GREEN,3,Colours,1,4
22,VITALITY,9,Abstract concepts,2,2
22,LITERATURE,11,Subjects,3,2
22,MOUNTAIN,19,Places,4,2
23,BLUE,2,Colours,1,2
23,SAFETY,8,Abstract concepts,2,3
23,PHYSICS,12,Subjects,3,2
23,VILLAGE,20,Places,4,3
24,RED,4,Colours,1,1
24,RISK,6,Abstract concepts,2,3
24,GEOGRAPHY,15,Subjects,3,2
24,SEA,16,Places,4,4
25,ORANGE,5,Colours,1,4
25,POWER,10,Abstract concepts,2,2
25,MUSIC,13,Subjects,3,2
25,DESERT,17,Places,4,2
26,RED,4,Colours,1,2
26,VITALITY,9,Abstract concepts,2,3
26,HISTORY,14,Subjects,3,2
26,MOUNTAIN,19,Places,4,3
27,PURPLE,1,Colours,1,1
27,RISK,6,Abstract concepts,2,3
27,LITERATURE,11,Subjects,3,2
27,SEA,16,Places,4,4
28,BLUE,2,Colours,1,4
28,HOPE,7,Abstract concepts,2,2
28,PHYSICS,12,Subjects,3,2
28,DESERT,17,Places,4,2
29,ORANGE,5,Colours,1,3
29,POWER,10,Abstract concepts,2,2
29,GEOGRAPHY,15,Subjects,3,2
29,VILLAGE,20,Places,4,3
30,GREEN,3,Colours,1,3
30,SAFETY,8,Abstract concepts,2,2
30,MUSIC,13,Subjects,3,2
30,CITY,18,Places,4,3
31,RED,4,Colours,1,2
31,HOPE,7,Abstract concepts,2,2
31,HISTORY,14,Subjects,3,2
31,SEA,16,Places,4,4
32,BLUE,2,Colours,1,4
32,RISK,6,Abstract concepts,2,3
32,GEOGRAPHY,15,Subjects,3,2
32,CITY,18,Places,4,1
33,PURPLE,1,Colours,1,2
33,POWER,10,Abstract concepts,2,2
33,MUSIC,13,Subjects,3,2
33,VILLAGE,20,Places,4,4
34,ORANGE,5,Colours,1,1
34,VITALITY,9,Abstract concepts,2,3
34,LITERATURE,11,Subjects,3,2
34,DESERT,17,Places,4,4
35,GREEN,3,Colours,1,4
35,SAFETY,8,Abstract concepts,2,2
35,PHYSICS,12,Subjects,3,2
35,MOUNTAIN,19,Places,4,2
36,RED,4,Colours,1,2
36,POWER,10,Abstract concepts,2,3
36,LITERATURE,11,Subjects,3,2
36,DESERT,17,Places,4,3
37,PURPLE,1,Colours,1,3
37,HOPE,7,Abstract concepts,2,2
37,MUSIC,13,Subjects,3,2
