user_id,question_id,score,answer,category
1,1,1.0,2.0,Colours
1,2,1.0,4.0,Colours
1,3,1.0,4.0,Colours
1,4,1.0,3.0,Colours
1,5,1.0,2.0,Colours
1,6,1.0,2.0,Abstract concepts
1,7,1.0,4.0,Abstract concepts
1,8,1.0,4.0,Abstract concepts
1,9,1.0,4.0,Abstract concepts
1,10,1.0,4.0,Abstract concepts
1,11,1.0,3.0,Subjects
1,12,1.0,2.0,Subjects
1,13,1.0,3.0,Subjects
1,14,1.0,1.0,Subjects
1,15,1.0,1.0,Subjects
1,16,1.0,2.0,Places
1,17,1.0,1.0,Places
1,18,1.0,2.0,Places
1,19,1.0,2.0,Places
1,20,1.0,3.0,Places
1,21,3.0,7.0,Abstract concepts
1,22,4.0,3.0,Colours
1,23,2.0,2.0,Colours
1,24,4.0,16.0,Places
1,25,2.0,10.0,Abstract concepts
1,26,3.0,9.0,Abstract concepts
1,27,4.0,16.0,Places
1,28,4.0,2.0,Colours
1,29,3.0,20.0,Places
1,30,3.0,3.0,Colours
1,31,4.0,16.0,Places
1,32,4.0,2.0,Colours
1,33,4.0,20.0,Places
1,34,3.0,9.0,Abstract concepts
1,35,4.0,3.0,Colours
1,36,3.0,17.0,Places
1,37,3.0,19.0,Places
1,38,1.0,2.0,Colours
1,39,2.0,16.0,Places
1,40,3.0,3.0,Colours
1,41,4.0,18.0,Places
1,42,4.0,3.0,Colours
1,43,3.0,20.0,Places
1,44,4.0,16.0,Places
1,45,2.0,17.0,Places
1,46,3.0,9.0,Abstract concepts
1,47,4.0,16.0,Places
1,48,4.0,2.0,Colours
1,49,3.0,5.0,Colours
1,50,3.0,3.0,Colours
1,51,4.0,16.0,Places
1,52,1.0,18.0,Places
1,53,4.0,20.0,Places
1,54,1.0,5.0,Colours
1,55,4.0,3.0,Colours
1,56,3.0,17.0,Places
1,57,3.0,19.0,Places
1,58,1.0,2.0,Colours
1,59,2.0,16.0,Places
1,60,3.0,3.0,Colours
2,1,1.0,2.0,Colours
2,2,1.0,4.0,Colours
2,3,1.0,3.0,Colours
2,4,1.0,2.0,Colours
2,5,1.0,2.0,Colours
2,6,1.0,2.0,Abstract concepts
2,7,1.0,3.0,Abstract concepts
2,8,1.0,4.0,Abstract concepts
2,9,1.0,4.0,Abstract concepts
2,10,1.0,4.0,Abstract concepts
2,11,1.0,3.0,Subjects
2,12,1.0,1.0,Subjects
2,13,1.0,2.0,Subjects
2,14,1.0,3.0,Subjects
2,15,1.0,2.0,Subjects
2,16,1.0,4.0,Places
2,17,1.0,2.0,Places
2,18,1.0,3.0,Places
2,19,1.0,3.0,Places
2,20,1.0,2.0,Places
2,21,3.0,7.0,Abstract concepts
2,22,2.0,19.0,Places
2,23,3.0,8.0,Abstract concepts
2,24,4.0,16.0,Places
2,25,2.0,10.0,Abstract concepts
2,26,3.0,19.0,Places
2,27,4.0,16.0,Places
2,28,2.0,7.0,Abstract concepts
2,29,3.0,5.0,Colours
2,30,3.0,3.0,Colours
2,31,4.0,16.0,Places
2,32,4.0,2.0,Colours
